 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1603,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10892-08188,38.159,2.626,0.409,1.727,3.478,23.087
1604,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10907-08379,38.980,2.589,0.832,1.250,4.703,22.401
1605,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10926-05199,20.926,3.605,0.875,2.071,6.700,16.746
1606,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:10929-05794,43.493,2.539,0.584,1.156,4.917,24.898
1607,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11038-06210,3.283,1.497,0.139,1.238,1.684,7.467
1608,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11034-06214,61.137,1.592,0.323,1.038,2.500,39.612
1609,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11043-06209,3.693,1.474,0.141,1.318,1.722,7.622
1610,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11060-05715,29.953,2.641,0.633,1.333,4.235,19.463
1611,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11095-06080,25.850,2.658,0.512,1.750,3.923,18.402
1612,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11148-07061,61.137,2.330,0.451,1.444,3.889,29.272
1613,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11219-06995,0.410,1.857,0.000,1.857,1.857,2.562
1614,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11216-06999,45.955,2.651,0.750,1.179,4.875,26.024
1615,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11256-05620,95.193,2.064,0.566,1.074,4.111,37.270
1616,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11300-05462,27.901,1.921,0.418,1.333,3.400,19.619
1617,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11375-05133,4.513,2.409,0.475,1.500,3.400,7.092
1618,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11404-05183,4.103,1.564,0.319,1.222,2.176,6.716
1619,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11462-06476,0.410,1.526,0.000,1.526,1.526,2.562
1620,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11464-06467,0.410,1.259,0.000,1.259,1.259,2.562
1621,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11467-06471,0.821,1.176,0.147,1.071,1.280,3.624
1622,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11468-06460,0.410,1.222,0.000,1.222,1.222,2.562
1623,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11470-06471,0.821,1.205,0.181,1.077,1.333,3.843
1624,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11471-06464,1.231,1.015,0.117,0.889,1.120,4.905
1625,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11470-06468,2.462,1.121,0.128,0.958,1.292,5.811
1626,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11472-06466,0.410,1.222,0.000,1.222,1.222,2.562
1627,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11475-06476,0.410,2.200,0.000,2.200,2.200,2.562
1628,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11469-06466,169.459,1.315,0.216,0.886,2.133,71.758
1629,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11540-05571,15.182,1.194,0.239,0.857,1.867,14.183
1630,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11613-05476,15.182,1.034,0.130,0.727,1.389,14.714
1631,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11628-05913,89.859,2.061,0.482,1.125,3.108,35.303
1632,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11659-05215,36.518,2.957,0.803,1.294,5.111,22.181
1633,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11745-09751,48.417,2.574,0.815,0.850,4.355,25.649
1634,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11803-05536,1.231,2.389,0.347,2.000,2.667,3.624
1635,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:11854-04590,13.540,2.830,0.474,1.786,3.727,13.277
1636,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:12038-05802,101.758,2.984,0.853,1.348,4.697,37.334
1637,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:12075-04959,25.029,1.878,0.488,1.000,3.000,19.619
1638,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:12079-05736,76.729,2.225,0.662,0.923,5.000,34.177
1639,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:12087-04592,22.157,1.672,0.423,1.000,3.000,16.901
1640,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:12192-04744,20.105,3.189,0.917,1.214,5.071,15.995
1641,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:12215-05865,32.825,2.765,0.819,1.222,4.643,20.900
1642,slice0003_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:12517-05354,58.675,1.743,0.470,0.851,3.455,33.207
