 ,Label,Area,Mean,StdDev,Min,Max,Perim.
471,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09703-07213,23.798,1.883,0.359,1.316,2.650,18.182
472,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09719-05025,1.641,1.874,0.201,1.692,2.091,4.905
473,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09717-06349,92.731,2.413,0.778,1.087,4.700,39.612
474,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09728-06074,0.410,1.500,0.000,1.500,1.500,2.562
475,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09724-07704,36.518,2.640,0.505,1.346,3.714,22.025
476,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09727-09509,21.336,2.658,0.425,1.792,3.533,16.370
477,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09728-07179,15.182,1.924,0.287,1.350,2.462,13.808
478,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09729-06076,20.516,2.241,0.499,1.429,3.708,16.370
479,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09757-08625,17.233,1.282,0.241,0.718,1.870,14.934
480,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09768-07857,21.747,2.120,0.367,1.250,3.040,17.276
481,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:09778-07754,1.231,0.849,0.053,0.789,0.892,3.624
