 ,Label,Area,Mean,StdDev,Min,Max,Perim.
7062,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05242-05029,5.334,2.321,0.388,1.600,2.750,8.528
7063,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05246-04528,68.933,1.230,0.200,0.595,1.727,30.929
7064,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05258-03014,116.119,1.625,0.320,1.000,2.424,41.644
7065,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05340-03183,64.419,1.939,0.286,1.227,2.917,29.492
7066,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05398-08375,50.879,1.390,0.201,0.967,2.105,26.399
7067,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05457-04712,17.643,1.307,0.165,1.000,1.682,24.679
7068,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05494-04401,0.410,2.000,0.000,2.000,2.000,2.562
7069,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05496-04393,0.410,2.308,0.000,2.308,2.308,2.562
7070,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05502-03536,0.410,1.172,0.000,1.172,1.172,2.562
7071,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05498-04398,64.009,2.115,0.277,1.529,3.000,38.112
7072,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05505-03541,49.238,1.286,0.139,0.964,1.679,28.367
7073,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05595-04416,0.821,1.327,0.058,1.286,1.368,3.624
7074,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05594-06014,8.617,2.358,0.280,2.000,2.889,10.185
7075,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05597-04415,3.283,1.287,0.050,1.190,1.350,5.811
7076,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05617-02166,25.029,2.855,0.644,1.769,4.545,18.713
7077,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05641-09472,0.410,1.769,0.000,1.769,1.769,2.562
7078,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05676-04678,13.540,1.206,0.318,0.808,2.182,16.526
7079,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05690-07208,30.773,1.775,0.317,1.100,2.688,20.524
7080,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05699-03703,1.231,1.400,0.182,1.200,1.556,3.624
7081,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05715-05960,57.444,1.664,0.191,1.300,2.214,32.301
7082,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05720-04969,113.246,1.343,0.225,0.889,2.207,41.113
7083,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05762-03620,0.410,1.080,0.000,1.080,1.080,2.562
7084,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05760-03149,27.901,1.626,0.229,1.143,2.500,19.463
7085,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05796-05442,0.821,2.033,0.047,2.000,2.067,3.843
7086,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05798-05440,4.513,2.057,0.225,1.722,2.500,8.528
7087,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05815-03791,48.007,1.643,0.391,0.788,2.519,25.118
7088,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05814-10549,85.345,1.925,0.280,1.294,2.900,38.926
7089,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05829-09484,0.410,1.688,0.000,1.688,1.688,2.562
7090,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05832-09490,68.112,1.826,0.255,1.188,2.500,34.333
7091,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05841-00396,0.821,1.846,0.109,1.769,1.923,3.843
7092,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05842-00394,4.513,2.195,0.175,1.917,2.545,7.622
7093,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05857-06542,80.011,1.804,0.317,1.056,2.929,33.646
7094,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05861-02422,87.807,1.004,0.222,0.583,2.062,38.551
7095,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05868-03924,23.798,1.844,0.286,1.368,2.667,25.960
7096,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05884-02559,6.975,2.253,0.354,1.636,2.778,9.809
7097,slice0012_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:05883-02840,28.312,2.416,0.402,1.333,3.300,18.933
